external_id,company,title,location,job_type,graduate_years,published_at,deadline_at,source_url,apply_url,description,industry_tags,skill_tags,enabled
feishu-2c9c5dc6d132,京东,管培-综合方向,中国,校招,2026|2027,,,https://campus.jd.com/#/details?id=8032,https://campus.jd.com/#/details?id=8032,"招聘批次：人才计划；个人跟进状态：终面挂,高管面,群面；备注：内推码：C8TXV",大厂,管培,true
feishu-1a71f436d60d,拼多多,产培,中国,校招,2026|2027,,,https://careers.pddglobalhr.com/campus/grad/detail?positionId=a8313a59-90d2-4769-be6e-d39ea37ef3de,https://careers.pddglobalhr.com/campus/grad/detail?positionId=a8313a59-90d2-4769-be6e-d39ea37ef3de,"招聘批次：秋招提前批；个人跟进状态：二面,一面；备注：提前批不影响正式批",大厂,,true
feishu-2ab5e91952ff,阿里-闪购,AI产品运营（体验与服务方向）,中国,校招,2026|2027,,,https://campus-talent.alibaba.com/campus/position/199907700034,https://campus-talent.alibaba.com/campus/position/199907700034,"招聘批次：秋招正式批；个人跟进状态：二面,一面",大厂,AI|产品|运营,true
feishu-ad7a7ce2258c,京东,产品,中国,校招,2026|2027,,,https://campus.jd.com/#/details?id=9085,https://campus.jd.com/#/details?id=9085,招聘批次：人才计划；个人跟进状态：AI笔试,大厂,产品,true
feishu-d621f3c2b7b7,美团,AI产品,中国,校招,2026|2027,,,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697309845&highlightType=campus,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697309845&highlightType=campus,招聘批次：秋招正式批；个人跟进状态：已投递,大厂,AI|产品,true
feishu-51f6c6923233,美团,产品,中国,校招,2026|2027,,,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697314739&highlightType=campus,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697314739&highlightType=campus,招聘批次：秋招正式批；个人跟进状态：已投递,大厂,产品,true
feishu-644d1021ba3c,美团,AI产品运营,中国,校招,2026|2027,,,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697324893&highlightType=campus,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697324893&highlightType=campus,招聘批次：秋招正式批；个人跟进状态：已投递,大厂,AI|产品|运营,true
feishu-19da5d103971,蚂蚁,AI产品,中国,校招,2026|2027,,,https://talent.antgroup.com/campus-position?positionId=260721011010330&tid=2180659f17868798049537386e2f49,https://talent.antgroup.com/campus-position?positionId=260721011010330&tid=2180659f17868798049537386e2f49,招聘批次：秋招正式批；个人跟进状态：已投递；备注：无限复活，一次只能一个岗位在流程中,大厂,AI|产品,true
feishu-6b7f8606d605,腾讯音乐,产品策划,中国,校招,2026|2027,,,https://join.tencentmusic.com/campus/post-details?id=13086,https://join.tencentmusic.com/campus/post-details?id=13086,招聘批次：秋招正式批；个人跟进状态：已投递,大厂,产品,true
feishu-37f1e66cec18,百度,北京- AI产品,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/423c0fa3-a0f3-4def-a882-7466d3685b79,https://talent.baidu.com/jobs/detail/GRADUATE/423c0fa3-a0f3-4def-a882-7466d3685b79,招聘批次：秋招正式批；个人跟进状态：简历挂,大厂,AI|产品,true
feishu-755823211511,快手,AI商业化产品经理-PDE,中国,校招,2026|2027,,,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13825,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13825,招聘批次：秋招正式批；个人跟进状态：简历挂,大厂,AI|产品,true
feishu-0bf08ee54f07,快手,AI产品经理-导购方向,中国,校招,2026|2027,,,https://campus.kuaishou.cn/#/campus/job-info/13732,https://campus.kuaishou.cn/#/campus/job-info/13732,招聘批次：秋招正式批；个人跟进状态：简历挂,大厂,AI|产品,true
feishu-f613af92032d,百度,管培,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/a20dfb76-4c9d-4814-bd74-7561616e2773,https://talent.baidu.com/jobs/detail/GRADUATE/a20dfb76-4c9d-4814-bd74-7561616e2773,招聘批次：人才计划；个人跟进状态：笔试挂；备注：投递次数无上限，同一时间只能投递一个岗位，挂了可重新投递,大厂,管培,true
feishu-38f755f9cda6,腾讯,产品策划,中国,校招,2026|2027,,,https://join.qq.com/post_detail.html?postid=1282707374754604032,https://join.qq.com/post_detail.html?postid=1282707374754604032,招聘批次：秋招正式批；个人跟进状态：待投递,大厂,产品,true
feishu-65e231ef8c53,腾讯,AI产品,中国,校招,2026|2027,,,https://join.qq.com/post_detail.html?postid=1283126456553382912,https://join.qq.com/post_detail.html?postid=1283126456553382912,招聘批次：秋招正式批；个人跟进状态：待投递,大厂,AI|产品,true
feishu-2bf103ac17ac,百度,产培,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/8af5fc29-815e-44d3-9918-af2f414934ae,https://talent.baidu.com/jobs/detail/GRADUATE/8af5fc29-815e-44d3-9918-af2f414934ae,招聘批次：秋招正式批,大厂,,true
feishu-8fbc3d4b48c2,百度,策略产品,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/b1537e9d-99b2-4f5c-a546-559d5c5a8718,https://talent.baidu.com/jobs/detail/GRADUATE/b1537e9d-99b2-4f5c-a546-559d5c5a8718,招聘批次：秋招正式批,大厂,产品|策略,true
feishu-c3d2f8c93099,百度,深圳- AI产品,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/6a3ec057-b632-4c99-b075-dce2dbeccdd1,https://talent.baidu.com/jobs/detail/GRADUATE/6a3ec057-b632-4c99-b075-dce2dbeccdd1,招聘批次：秋招正式批,大厂,AI|产品,true
feishu-5e750ca9c408,百度,产品,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/ebb64b78-0b20-4e6f-8866-e494eb0aee6d,https://talent.baidu.com/jobs/detail/GRADUATE/ebb64b78-0b20-4e6f-8866-e494eb0aee6d,招聘批次：秋招正式批,大厂,产品,true
feishu-1fef94d65d4e,百度,产品,中国,校招,2026|2027,,,https://talent.baidu.com/jobs/detail/GRADUATE/31e3795e-d5fd-4573-854b-960ab1fcf46a,https://talent.baidu.com/jobs/detail/GRADUATE/31e3795e-d5fd-4573-854b-960ab1fcf46a,招聘批次：秋招正式批,大厂,产品,true
feishu-e05d41743b61,快手,平台产品经理,中国,校招,2026|2027,,,https://campus.kuaishou.cn/#/campus/job-info/13205,https://campus.kuaishou.cn/#/campus/job-info/13205,招聘批次：秋招正式批,大厂,产品,true
feishu-472d360f41af,快手,海外电商产品经理,中国,校招,2026|2027,,,https://campus.kuaishou.cn/#/campus/job-info/13222,https://campus.kuaishou.cn/#/campus/job-info/13222,招聘批次：秋招正式批,大厂,产品|国际化,true
feishu-a2a304ddcddc,合合信息,教育产品,中国,校招,2026|2027,,,https://intsig.zhiye.com/campus/jobs,https://intsig.zhiye.com/campus/jobs,"招聘批次：秋招正式批；个人跟进状态：高管面,一面,hr面,群面；备注：https://www.mifengjiaoyu.com/",中厂,产品,true
feishu-49e7dfe5ca01,货拉拉,全球拓展管培生,中国,校招,2026|2027,,,https://app.mokahr.com/campus-recruitment/huolalahr/98660#/job/0a25484b-c0ce-4a02-8c27-abaab9d42299,https://app.mokahr.com/campus-recruitment/huolalahr/98660#/job/0a25484b-c0ce-4a02-8c27-abaab9d42299,招聘批次：秋招正式批；个人跟进状态：AI面,中厂,管培,true
